4.310355e+01	3.801479e+01	0.000000e+00	1.000000e-02	5.000000e-02
7.221598e+01	6.239349e+01	0.000000e+00	1.000000e-02	1.000000e-02
6.819231e+01	9.268935e+01	0.000000e+00	5.000000e-02	1.000000e-02
4.357692e+01	6.854734e+01	0.000000e+00	5.000000e-02	5.000000e-02
8.996746e+01	6.310355e+01	1.000000e-02	1.000000e-02	0.000000e+00
1.193166e+02	4.535207e+01	5.000000e-02	1.000000e-02	0.000000e+00
1.110325e+02	7.446450e+01	5.000000e-02	5.000000e-02	0.000000e+00
8.357692e+01	9.245266e+01	1.000000e-02	5.000000e-02	0.000000e+00
8.286686e+01	4.653550e+01	1.000000e-02	0.000000e+00	1.000000e-02
5.186095e+01	2.476036e+01	1.000000e-02	0.000000e+00	5.000000e-02
8.310355e+01	1.150592e+01	5.000000e-02	0.000000e+00	5.000000e-02
1.138728e+02	3.115089e+01	5.000000e-02	0.000000e+00	1.000000e-02
